title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Dusk Till Dawn - Radio Edit,0.258,0.437,11.0,-6.593,0.0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,pop
rockstar,0.58,0.531,5.0,-6.631,0.0,0.0776,0.128,0.000127,0.143,0.141,159.786,pop
What Lovers Do (feat. SZA),0.795,0.611,5.0,-5.224,0.0,0.0711,0.0793,3.04e-06,0.0853,0.404,110.016,pop
Too Good At Goodbyes,0.515,0.378,5.0,-8.264,1.0,0.065,0.618,0.0,0.172,0.536,91.883,pop
Havana,0.768,0.517,7.0,-4.323,0.0,0.0312,0.186,3.8e-05,0.104,0.408,104.992,pop
Silence,0.52,0.761,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.266,141.971,pop
Sorry Not Sorry,0.695,0.632,11.0,-6.922,0.0,0.261,0.0264,0.0,0.252,0.87,143.794,pop
Look What You Made Me Do,0.767,0.671,9.0,-6.416,0.0,0.142,0.21,1.12e-05,0.129,0.474,128.072,pop
"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.667,0.726,8.0,-4.172,1.0,0.054,0.032,0.0,0.0745,0.77,103.001,pop
Bodak Yellow,0.929,0.723,11.0,-5.792,0.0,0.109,0.0672,0.0,0.346,0.468,125.022,pop
New Rules,0.756,0.682,9.0,-6.577,0.0,0.0753,0.00274,8.85e-06,0.147,0.589,116.008,pop
1-800-273-8255,0.622,0.593,5.0,-7.755,0.0,0.0414,0.56,0.0,0.175,0.361,100.048,pop
Friends (with BloodPop®),0.744,0.752,8.0,-5.316,1.0,0.0368,0.00398,0.0,0.307,0.624,104.99,pop
Back to You (feat. Bebe Rexha & Digital Farm Animals),0.683,0.53,5.0,-4.918,0.0,0.142,0.207,0.0,0.394,0.632,75.016,pop
Glorious (feat. Skylar Grey),0.731,0.794,0.0,-5.126,0.0,0.0522,0.0323,2.59e-05,0.112,0.35,139.994,pop
...Ready For It?,0.615,0.779,2.0,-6.454,1.0,0.135,0.0665,0.0,0.155,0.453,160.0,pop
Young Dumb & Broke,0.798,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.41,136.949,pop
Meant to Be,0.643,0.783,10.0,-6.458,1.0,0.0856,0.047,0.0,0.083,0.566,154.084,pop
Lonely Together (feat. Rita Ora),0.648,0.667,2.0,-5.294,0.0,0.065,0.137,2.1e-05,0.0797,0.221,102.966,pop
Too Much To Ask,0.443,0.55,0.0,-6.417,1.0,0.041,0.371,0.0,0.125,0.188,77.52,pop
OMG,0.655,0.576,5.0,-6.735,0.0,0.0536,0.0295,0.115,0.132,0.169,139.953,pop
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",0.615,0.547,0.0,-5.086,0.0,0.152,0.254,0.0,0.171,0.167,106.688,pop
Jocelyn Flores,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,pop
Bad At Love,0.675,0.736,0.0,-3.604,1.0,0.0302,0.06,0.0,0.0879,0.584,118.369,pop
Questions,0.614,0.598,10.0,-6.335,0.0,0.0561,0.00543,0.0,0.1,0.569,105.803,pop
Would You Ever,0.653,0.91,10.0,-3.36,1.0,0.0566,0.0079,0.0,0.318,0.0861,126.047,pop
What About Us,0.386,0.594,1.0,-6.186,1.0,0.0565,0.0254,3.03e-06,0.0873,0.19,113.843,pop
Mi Gente,0.548,0.701,11.0,-4.862,0.0,0.0914,0.0178,1.34e-05,0.134,0.286,104.237,pop
If I'm Lucky,0.897,0.634,4.0,-6.264,0.0,0.161,0.00413,0.0,0.0686,0.506,112.048,pop
I Just Can't,0.652,0.595,6.0,-6.944,0.0,0.0419,0.162,0.0,0.148,0.303,77.538,pop
Strip That Down,0.87,0.488,6.0,-5.586,1.0,0.0537,0.221,0.0,0.0767,0.526,106.008,pop
Rich Love (with Seeb),0.593,0.868,1.0,-3.573,0.0,0.295,0.183,0.0,0.365,0.475,104.988,pop
do re mi (feat. Gucci Mane),0.74,0.657,8.0,-6.309,1.0,0.0595,0.00572,0.0,0.211,0.188,112.016,pop
I Like Me Better,0.752,0.505,9.0,-7.621,1.0,0.253,0.535,2.55e-06,0.104,0.407,91.97,pop
Perfect,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,pop
Feel It Still,0.78,0.798,1.0,-5.151,0.0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,pop
Feels,0.893,0.745,11.0,-3.105,0.0,0.0571,0.0642,0.0,0.0943,0.874,101.018,pop
Why,0.669,0.561,11.0,-4.923,0.0,0.209,0.157,0.0,0.0739,0.615,180.044,pop
Unforgettable,0.66,0.745,7.0,-5.499,1.0,0.0307,0.0294,0.0002,0.0831,0.796,130.074,pop
Without You (feat. Sandro Cavazza),0.652,0.855,2.0,-4.832,1.0,0.0441,0.00179,0.0,0.0404,0.287,134.009,pop
Unforgettable,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.75,97.985,pop
The Way Life Goes,0.703,0.757,1.0,-3.612,1.0,0.05,0.617,0.0,0.106,0.696,82.008,pop
2U,0.542,0.654,8.0,-5.862,0.0,0.0537,0.23,0.0,0.241,0.564,144.971,pop
Instruction (feat. Demi Lovato & Stefflon Don),0.764,0.932,9.0,-3.059,0.0,0.189,0.121,0.0,0.103,0.892,121.046,pop
The Last Of The Real Ones,0.577,0.882,8.0,-5.224,1.0,0.0492,0.00527,0.0,0.257,0.564,115.022,pop
Reggaetón Lento (Remix) [CNCO & Little Mix],0.527,0.907,4.0,-3.09,0.0,0.11,0.154,0.0,0.0993,0.664,93.813,pop
Thunder,0.6,0.81,0.0,-4.749,1.0,0.0479,0.00683,0.21,0.155,0.252,167.88,pop
Bank Account,0.884,0.346,8.0,-8.228,0.0,0.351,0.0151,7.04e-06,0.0871,0.378,75.016,pop
Love Galore,0.795,0.594,0.0,-6.2,1.0,0.0747,0.111,0.0,0.162,0.404,135.002,pop
Super Far,0.754,0.458,8.0,-6.852,1.0,0.144,0.105,0.0,0.249,0.484,96.011,pop
"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.667,0.726,8.0,-4.172,1.0,0.054,0.032,0.0,0.0745,0.77,103.001,pop
Dusk Till Dawn - Radio Edit,0.258,0.437,11.0,-6.593,0.0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,pop
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",0.615,0.547,0.0,-5.086,0.0,0.152,0.254,0.0,0.171,0.167,106.688,pop
rockstar,0.58,0.531,5.0,-6.631,0.0,0.0776,0.128,0.000127,0.143,0.141,159.786,pop
Too Good At Goodbyes,0.515,0.378,5.0,-8.264,1.0,0.065,0.618,0.0,0.172,0.536,91.883,pop
I Just Can't,0.652,0.595,6.0,-6.944,0.0,0.0419,0.162,0.0,0.148,0.303,77.538,pop
Too Much To Ask,0.443,0.55,0.0,-6.417,1.0,0.041,0.371,0.0,0.125,0.188,77.52,pop
Find You,0.64,0.728,6.0,-4.07,0.0,0.034,0.00111,0.0,0.084,0.282,125.966,pop
DNA,0.598,0.775,1.0,-4.035,0.0,0.0545,0.022,0.0,0.0677,0.687,129.819,pop
Meant to Be,0.643,0.783,10.0,-6.458,1.0,0.0856,0.047,0.0,0.083,0.566,154.084,pop
You Could Be,0.718,0.681,5.0,-4.593,0.0,0.0361,0.255,1.88e-05,0.208,0.365,139.99,pop
The Best You Had,0.595,0.608,5.0,-5.303,0.0,0.0373,0.358,0.0,0.0843,0.451,60.878,pop
So Much More Than This,0.742,0.522,5.0,-4.111,1.0,0.152,0.136,0.0,0.0422,0.751,180.039,pop
The Last Of The Real Ones,0.577,0.882,8.0,-5.224,1.0,0.0492,0.00527,0.0,0.257,0.564,115.022,pop
...Ready For It?,0.615,0.779,2.0,-6.454,1.0,0.135,0.0665,0.0,0.155,0.453,160.0,pop
Better Days,0.605,0.736,0.0,-4.363,1.0,0.0751,0.379,0.0,0.0549,0.648,96.007,pop
Plot Twist - Remix,0.533,0.599,8.0,-6.405,1.0,0.3,0.213,0.0,0.0878,0.682,96.764,pop
Best Of Me,0.651,0.756,8.0,-4.388,1.0,0.0762,0.0298,0.0,0.396,0.473,121.96,pop
Think Before I Talk,0.775,0.597,5.0,-5.666,1.0,0.159,0.36,0.0,0.156,0.532,122.069,pop
You Make Me,0.579,0.681,0.0,-6.381,1.0,0.073,0.478,2.67e-05,0.306,0.549,97.716,pop
Bodak Yellow,0.929,0.723,11.0,-5.792,0.0,0.109,0.0672,0.0,0.346,0.468,125.022,pop
Tell Me You Love Me,0.321,0.59,6.0,-5.407,1.0,0.0704,0.0278,0.0,0.144,0.257,71.96,pop
Broken Glass,0.672,0.755,1.0,-3.54,0.0,0.11,0.144,0.0,0.502,0.356,91.996,pop
Cross My Mind Pt. 2 (feat. Kiiara),0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.83e-05,0.161,0.454,93.009,pop
Falls (feat. Sasha Sloan),0.294,0.697,6.0,-6.029,1.0,0.128,0.0398,0.00011,0.136,0.173,160.566,pop
He Like That,0.592,0.681,0.0,-5.597,1.0,0.141,0.362,0.0,0.142,0.481,147.016,pop
Burn Slow,0.519,0.463,6.0,-9.407,1.0,0.154,0.107,0.000506,0.104,0.244,91.529,pop
If I'm Lucky,0.897,0.634,4.0,-6.264,0.0,0.161,0.00413,0.0,0.0686,0.506,112.048,pop
I Believe I'm Fine,0.711,0.747,10.0,-6.165,0.0,0.061,0.271,0.0,0.328,0.572,100.01,pop
Say It To My Face,0.596,0.789,1.0,-5.585,0.0,0.045,0.00128,0.0,0.0981,0.399,111.034,pop
Out Of My Head,0.831,0.532,8.0,-7.273,1.0,0.0507,0.12,0.0,0.0905,0.804,108.593,pop
Sleepy Eyes,0.619,0.733,6.0,-6.699,1.0,0.138,0.0508,0.0,0.215,0.481,97.023,pop
Worst In Me,0.653,0.62,6.0,-8.037,1.0,0.0571,0.0871,0.0,0.173,0.244,105.904,pop
Does It Feel Like Falling (Feat. Trinidad Cardona),0.71,0.863,6.0,-3.571,0.0,0.0483,0.0482,3.51e-05,0.0886,0.276,110.065,pop
Chateau,0.662,0.574,5.0,-11.237,1.0,0.0378,0.643,0.829,0.111,0.632,129.995,pop
The Fog,0.604,0.658,4.0,-4.936,0.0,0.0302,0.0318,0.00126,0.131,0.711,106.033,pop
Something Different,0.901,0.531,6.0,-4.118,0.0,0.0791,0.0263,0.0,0.097,0.695,105.026,pop
Crime (with Skott),0.515,0.638,1.0,-7.558,1.0,0.356,0.191,1.18e-06,0.14,0.38,160.182,pop
Drew Barrymore,0.763,0.572,11.0,-7.312,0.0,0.0595,0.493,0.00118,0.106,0.25,151.93,pop
Star Crossed,0.546,0.896,11.0,-4.681,0.0,0.0288,0.00124,0.000153,0.138,0.274,90.028,pop
Moonlight,0.737,0.734,7.0,-4.71,1.0,0.156,0.399,0.0,0.323,0.324,91.999,pop
Hurt Somebody,0.694,0.476,1.0,-6.98,1.0,0.297,0.343,0.0,0.119,0.549,114.939,pop
Glow Like Dat,0.787,0.586,10.0,-9.64,1.0,0.0695,0.411,0.000311,0.118,0.604,140.036,pop
Mistakes,0.678,0.607,0.0,-7.19,1.0,0.075,0.174,0.0,0.0788,0.445,91.973,pop
Flare Guns,,,,,,,,,,,,pop
New Fears,0.37,0.628,6.0,-4.276,0.0,0.0558,0.439,0.0,0.182,0.154,183.714,pop
I Don't Want It At All,0.766,0.739,6.0,-3.011,0.0,0.0835,0.105,0.0,0.084,0.757,110.018,pop
The Spectre,0.654,0.711,1.0,-7.438,0.0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,pop
The Way Life Goes,0.703,0.757,1.0,-3.612,1.0,0.05,0.617,0.0,0.106,0.696,82.008,pop
Alone,0.408,0.613,8.0,-7.381,1.0,0.062,0.338,1.67e-06,0.187,0.196,174.116,pop
Best Friend,0.699,0.7,11.0,-5.704,1.0,0.0392,0.0109,0.0794,0.152,0.3,102.023,pop
rockstar,0.58,0.531,5.0,-6.631,0.0,0.0776,0.128,0.000127,0.143,0.141,159.786,pop
Would You Ever,0.653,0.91,10.0,-3.36,1.0,0.0566,0.0079,0.0,0.318,0.0861,126.047,pop
Idfc,0.63,0.5,1.0,-8.755,0.0,0.0611,0.611,4.04e-05,0.114,0.321,144.871,pop
Silence,0.52,0.761,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.266,141.971,pop
"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.667,0.726,8.0,-4.172,1.0,0.054,0.032,0.0,0.0745,0.77,103.001,pop
Sky Walker,0.629,0.717,6.0,-5.706,1.0,0.0638,0.0876,0.0,0.358,0.129,145.959,pop
Bodak Yellow,0.929,0.723,11.0,-5.792,0.0,0.109,0.0672,0.0,0.346,0.468,125.022,pop
Questions,0.614,0.598,10.0,-6.335,0.0,0.0561,0.00543,0.0,0.1,0.569,105.803,pop
OMG,0.655,0.576,5.0,-6.735,0.0,0.0536,0.0295,0.115,0.132,0.169,139.953,pop
Havana,0.768,0.517,7.0,-4.323,0.0,0.0312,0.186,3.8e-05,0.104,0.408,104.992,pop
California,0.736,0.493,10.0,-7.224,1.0,0.0592,0.265,0.0,0.247,0.364,141.997,pop
Bank Account,0.884,0.346,8.0,-8.228,0.0,0.351,0.0151,7.04e-06,0.0871,0.378,75.016,pop
Lonely Together (feat. Rita Ora),0.648,0.667,2.0,-5.294,0.0,0.065,0.137,2.1e-05,0.0797,0.221,102.966,pop
Signs,0.79,0.734,0.0,-4.66,1.0,0.0524,0.0853,0.00409,0.112,0.217,107.369,pop
Unforgettable,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.75,97.985,pop
DNA,0.598,0.775,1.0,-4.035,0.0,0.0545,0.022,0.0,0.0677,0.687,129.819,pop
